"filename", "language", "Properties", "JavaScript", "YAML", "NGINX Conf", "dockerfile", "HTML", "SQL", "JSON with Comments", "Markdown", "JavaScript JSX", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Илья\Desktop\startup\.env", "Properties", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32, 62
"c:\Users\Илья\Desktop\startup\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Илья\Desktop\startup\Dockerfile", "dockerfile", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\Илья\Desktop\startup\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Илья\Desktop\startup\config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 8
"c:\Users\Илья\Desktop\startup\docker-compose.yml", "YAML", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 12, 162
"c:\Users\Илья\Desktop\startup\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Илья\Desktop\startup\init_db.sql", "SQL", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 7, 43
"c:\Users\Илья\Desktop\startup\nginx.conf", "NGINX Conf", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Илья\Desktop\startup\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34405, 0, 1, 34406
"c:\Users\Илья\Desktop\startup\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 44
"c:\Users\Илья\Desktop\startup\pg_hba.conf", "NGINX Conf", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Илья\Desktop\startup\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Илья\Desktop\startup\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\Илья\Desktop\startup\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Илья\Desktop\startup\src\Components\ApprovedWindow\ApprovedWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\Илья\Desktop\startup\src\Components\ApprovedWindow\ApprovedWindow.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 16, 96
"c:\Users\Илья\Desktop\startup\src\Components\EmailVerification\EmailVer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"c:\Users\Илья\Desktop\startup\src\Components\EmailVerification\EmailVer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Илья\Desktop\startup\src\Components\ErrorMessage\Error.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Илья\Desktop\startup\src\Components\ErrorMessage\Error.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\Илья\Desktop\startup\src\Components\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 5, 77
"c:\Users\Илья\Desktop\startup\src\Components\Footer\Footer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 21, 176
"c:\Users\Илья\Desktop\startup\src\Components\GalleryList\GalleryList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\Илья\Desktop\startup\src\Components\GalleryList\GalleryList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\Илья\Desktop\startup\src\Components\HeaderMenu\HeaderMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\Илья\Desktop\startup\src\Components\HeaderMenu\HeaderMenu.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Илья\Desktop\startup\src\Components\Header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 10, 97
"c:\Users\Илья\Desktop\startup\src\Components\Header\Header.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 49
