Date : 2024-07-04 21:15:37
Directory : c:\Users\Илья\Desktop\startup
Total : 93 files,  38987 codes, 107 comments, 555 blanks, all 39649 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     34,448 |          0 |          2 |     34,450 |
| JavaScript JSX     |         42 |      2,314 |          8 |        257 |      2,579 |
| CSS                |         35 |      1,979 |         15 |        226 |      2,220 |
| YAML               |          1 |         90 |         60 |         12 |        162 |
| JavaScript         |          3 |         39 |          3 |          4 |         46 |
| SQL                |          1 |         30 |          6 |          7 |         43 |
| JSON with Comments |          1 |         20 |          0 |          1 |         21 |
| Properties         |          1 |         18 |         12 |         32 |         62 |
| NGINX Conf         |          2 |         17 |          1 |          8 |         26 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| dockerfile         |          1 |          9 |          2 |          2 |         13 |
| Markdown           |          1 |          8 |          0 |          3 |         11 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         93 |     38,987 |        107 |        555 |     39,649 |
| . (Files)                                                                                                        |         14 |     34,692 |         84 |         72 |     34,848 |
| public                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                              |         78 |      4,294 |         23 |        483 |      4,800 |
| src (Files)                                                                                                      |          3 |         65 |          0 |          7 |         72 |
| src\Components                                                                                                   |         44 |      2,772 |          9 |        316 |      3,097 |
| src\Components\ApprovedWindow                                                                                    |          2 |        114 |          0 |         23 |        137 |
| src\Components\EmailVerification                                                                                 |          2 |         36 |          0 |         10 |         46 |
| src\Components\ErrorMessage                                                                                      |          2 |         24 |          0 |          5 |         29 |
| src\Components\Footer                                                                                            |          2 |        227 |          0 |         26 |        253 |
| src\Components\GalleryList                                                                                       |          2 |         56 |          0 |          9 |         65 |
| src\Components\Header                                                                                            |          2 |        131 |          0 |         15 |        146 |
| src\Components\HeaderMenu                                                                                        |          2 |         60 |          0 |          9 |         69 |
| src\Components\Input                                                                                             |          2 |        269 |          0 |         25 |        294 |
| src\Components\LeftSideHeader                                                                                    |          2 |         33 |          0 |          6 |         39 |
| src\Components\Menu                                                                                              |          2 |        197 |          0 |         19 |        216 |
| src\Components\Newsletter                                                                                        |          2 |         71 |          1 |         13 |         85 |
| src\Components\QuestionsContent                                                                                  |          2 |         54 |          1 |          9 |         64 |
| src\Components\Registration                                                                                      |          6 |        592 |          0 |         55 |        647 |
| src\Components\Registration (Files)                                                                              |          2 |        125 |          0 |         13 |        138 |
| src\Components\RegistrationAdd                                                                                   |          2 |         72 |          0 |          4 |         76 |
| src\Components\Registration\LoginComponent                                                                       |          2 |        229 |          0 |         20 |        249 |
| src\Components\Registration\RegistrationComponent                                                                |          2 |        238 |          0 |         22 |        260 |
| src\Components\RightSideHeader                                                                                   |          2 |        257 |          0 |         23 |        280 |
| src\Components\Sections                                                                                          |          4 |        214 |          0 |         22 |        236 |
| src\Components\Sections\AboutSection                                                                             |          2 |        163 |          0 |         16 |        179 |
| src\Components\Sections\GallerySection                                                                           |          2 |         51 |          0 |          6 |         57 |
| src\Components\SideHeader                                                                                        |          2 |        134 |          0 |         15 |        149 |
| src\Components\Slider                                                                                            |          2 |        168 |          7 |         17 |        192 |
| src\Components\Wrappers                                                                                          |          2 |         63 |          0 |         11 |         74 |
| src\Cookies                                                                                                      |          2 |        286 |          1 |         27 |        314 |
| src\Layout                                                                                                       |          1 |         35 |          0 |          6 |         41 |
| src\Pages                                                                                                        |          8 |        562 |          2 |         38 |        602 |
| src\Pages\MainPage                                                                                               |          2 |         21 |          0 |          6 |         27 |
| src\Pages\QandAPage                                                                                              |          2 |        315 |          1 |          8 |        324 |
| src\Pages\Wizija                                                                                                 |          4 |        226 |          1 |         24 |        251 |
| src\Pages\Wizija (Files)                                                                                         |          2 |        104 |          0 |          5 |        109 |
| src\Pages\Wizija\WizjaContent                                                                                    |          2 |        122 |          1 |         19 |        142 |
| src\WebApplication                                                                                               |         19 |        573 |         11 |         89 |        673 |
| src\WebApplication (Files)                                                                                       |          1 |         29 |          0 |          5 |         34 |
| src\WebApplication\Components                                                                                    |          9 |        168 |          2 |         35 |        205 |
| src\WebApplication\Components\Element                                                                            |          2 |         53 |          0 |         10 |         63 |
| src\WebApplication\Components\FinalElement                                                                       |          2 |          9 |          0 |          5 |         14 |
| src\WebApplication\Components\Header                                                                             |          3 |         97 |          2 |         15 |        114 |
| src\WebApplication\Components\Header (Files)                                                                     |          2 |         87 |          2 |         12 |        101 |
| src\WebApplication\Components\Header\Balance                                                                     |          1 |         10 |          0 |          3 |         13 |
| src\WebApplication\Components\ProgressLine                                                                       |          2 |          9 |          0 |          5 |         14 |
| src\WebApplication\Content                                                                                       |          2 |         16 |          1 |          5 |         22 |
| src\WebApplication\RenderingZone                                                                                 |          2 |        106 |          7 |         15 |        128 |
| src\WebApplication\Steps                                                                                         |          5 |        254 |          1 |         29 |        284 |
| src\WebApplication\Steps (Files)                                                                                 |          1 |         99 |          0 |          9 |        108 |
| src\WebApplication\Steps\BudgetStyleStep                                                                         |          1 |         52 |          1 |          8 |         61 |
| src\WebApplication\Steps\FinalProjectStep                                                                        |          1 |         20 |          0 |          3 |         23 |
| src\WebApplication\Steps\RoomStep                                                                                |          1 |         31 |          0 |          4 |         35 |
| src\WebApplication\Steps\UploadPhotoStep                                                                         |          1 |         52 |          0 |          5 |         57 |
| src\assets                                                                                                       |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Илья\Desktop\startup\.env                                                                               | Properties         |         18 |         12 |         32 |         62 |
| c:\Users\Илья\Desktop\startup\.eslintrc.cjs                                                                      | JavaScript         |         21 |          0 |          1 |         22 |
| c:\Users\Илья\Desktop\startup\Dockerfile                                                                         | dockerfile         |          9 |          2 |          2 |         13 |
| c:\Users\Илья\Desktop\startup\README.md                                                                          | Markdown           |          8 |          0 |          3 |         11 |
| c:\Users\Илья\Desktop\startup\config.js                                                                          | JavaScript         |          5 |          2 |          1 |          8 |
| c:\Users\Илья\Desktop\startup\docker-compose.yml                                                                 | YAML               |         90 |         60 |         12 |        162 |
| c:\Users\Илья\Desktop\startup\index.html                                                                         | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\Илья\Desktop\startup\init_db.sql                                                                        | SQL                |         30 |          6 |          7 |         43 |
| c:\Users\Илья\Desktop\startup\nginx.conf                                                                         | NGINX Conf         |         16 |          0 |          7 |         23 |
| c:\Users\Илья\Desktop\startup\package-lock.json                                                                  | JSON               |     34,405 |          0 |          1 |     34,406 |
| c:\Users\Илья\Desktop\startup\package.json                                                                       | JSON               |         43 |          0 |          1 |         44 |
| c:\Users\Илья\Desktop\startup\pg_hba.conf                                                                        | NGINX Conf         |          1 |          1 |          1 |          3 |
| c:\Users\Илья\Desktop\startup\public\vite.svg                                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Илья\Desktop\startup\src\App.css                                                                        | CSS                |         35 |          0 |          3 |         38 |
| c:\Users\Илья\Desktop\startup\src\App.jsx                                                                        | JavaScript JSX     |         22 |          0 |          2 |         24 |
| c:\Users\Илья\Desktop\startup\src\Components\ApprovedWindow\ApprovedWindow.jsx                                   | JavaScript JSX     |         34 |          0 |          7 |         41 |
| c:\Users\Илья\Desktop\startup\src\Components\ApprovedWindow\ApprovedWindow.module.css                            | CSS                |         80 |          0 |         16 |         96 |
| c:\Users\Илья\Desktop\startup\src\Components\EmailVerification\EmailVer.jsx                                      | JavaScript JSX     |         36 |          0 |          9 |         45 |
| c:\Users\Илья\Desktop\startup\src\Components\EmailVerification\EmailVer.module.css                               | CSS                |          0 |          0 |          1 |          1 |
